#ZVView-data-copy:  31-Mar-2018 16:38:45
#=======================================
#
#name:   IRDFF-1.05: AU-197(N,G)AU-198
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  40692
#data...
#            X            Y
#          MeV        barns
    5.95855e-5      230.348
    5.95985e-5       245.21
    5.96109e-5      260.901
    5.96233e-5      278.211
    5.96357e-5      297.351
    5.96481e-5      318.559
    5.96605e-5      342.102
    5.96729e-5      368.278
     5.9683e-5      391.737
    5.96924e-5      415.599
    5.97018e-5      441.508
    5.97113e-5      469.642
    5.97207e-5      500.189
    5.97301e-5      533.341
    5.97395e-5      569.302
    5.97493e-5      609.701
    5.97592e-5      654.332
    5.97691e-5      702.778
     5.9779e-5      755.273
     5.9789e-5      812.036
    5.97989e-5      873.273
    5.98088e-5      939.161
    5.98187e-5      1009.85
    5.98287e-5      1085.44
    5.98419e-5      1193.94
    5.98529e-5       1291.1
    5.98662e-5      1415.57
    5.98794e-5      1548.24
     5.9897e-5      1736.64
    5.99169e-5      1961.42
    5.99742e-5      2637.18
     5.9994e-5      2856.79
    6.00095e-5      3013.35
    6.00269e-5      3169.46
    6.00428e-5      3288.28
    6.00547e-5      3360.43
    6.00677e-5      3420.94
    6.00809e-5      3461.58
    6.00936e-5      3479.89
    6.00985e-5      3481.48
    6.01106e-5      3472.15
    6.01233e-5      3442.57
    6.01358e-5      3393.66
    6.01497e-5      3318.18
    6.01634e-5      3223.69
    6.01766e-5       3115.2
    6.01943e-5      2948.45
    6.02119e-5      2761.87
     6.0234e-5      2510.13
    6.02803e-5         1963
    6.03001e-5      1738.43
    6.03177e-5      1550.15
     6.0331e-5      1417.53
    6.03442e-5      1293.06
    6.03563e-5       1186.5
    6.03695e-5      1078.65
    6.03795e-5      1003.53
    6.03894e-5      933.291
    6.03993e-5      867.818
    6.04092e-5      806.964
    6.04192e-5      750.552
    6.04291e-5      698.377
     6.0439e-5      650.219
    6.04478e-5      610.598
    6.04577e-5      569.391
    6.04677e-5       531.52
    6.04776e-5      496.746
    6.04875e-5      464.837
    6.04972e-5      436.192
    6.05065e-5      411.019
    6.05157e-5      387.797
    6.05281e-5      359.597
    6.05404e-5       334.24
    6.05528e-5       311.41
    6.05651e-5      290.824
    6.05775e-5      272.224
    6.05914e-5      253.393
    6.06026e-5      239.649
    6.06141e-5      226.618
    6.06257e-5      214.666
    6.06412e-5      200.213
    6.06566e-5      187.244
    6.06682e-5       178.37
    6.06855e-5      166.257
    6.07029e-5        155.4
    6.07189e-5      146.365
    6.07338e-5      138.678
    6.07536e-5      129.378
    6.07734e-5      121.022
    6.07908e-5      114.384
    6.08131e-5      106.651
    6.08355e-5      99.7036
    6.08578e-5      93.4344
    6.08807e-5      87.6223
    6.09055e-5      81.9286
    6.09303e-5      76.7864
    6.09551e-5      72.1248
    6.09799e-5      67.8847
    6.10047e-5      64.0155
    6.10295e-5      60.4744
     6.1055e-5      57.1381
     6.1086e-5       53.446
     6.1117e-5      50.1061
     6.1148e-5      47.0742
     6.1179e-5       44.313
      6.121e-5      41.7908
    6.12411e-5      39.4806
    6.12721e-5       37.359
    6.13086e-5      35.0752
    6.13451e-5      32.9968
    6.13816e-5      31.0998
    6.14181e-5      29.3634
    6.14546e-5      27.7698
    6.15033e-5      25.8407
    6.15399e-5      24.5226
    6.15888e-5      22.9126
    6.16377e-5      21.4573
    6.16866e-5      20.1374
    6.17355e-5      18.9366
    6.17844e-5       17.841
    6.18334e-5      16.8351
    6.18825e-5      15.9121
     6.1948e-5      14.7958
    6.20135e-5      13.7939
     6.2079e-5      12.8898
    6.21283e-5      12.2678
    6.22023e-5      11.4166
    6.22763e-5      10.6519
    6.23504e-5      9.96125
    6.24246e-5       9.3352
    6.24989e-5       8.7672
    6.25732e-5      8.24999
    6.26478e-5      7.77577
    6.27224e-5      7.34127
     6.2797e-5      6.94245
    6.28966e-5      6.45888
    6.29965e-5      6.02388
    6.30964e-5      5.63199
    6.31966e-5       5.2765
    6.32969e-5      4.95396
    6.33973e-5      4.66043
     6.3498e-5       4.3918
    6.35988e-5      4.14621
    6.36997e-5      3.92064
    6.38008e-5      3.71299
    6.39358e-5      3.46132
    6.40712e-5      3.23428
    6.42067e-5       3.0294
    6.43598e-5      2.82135
     6.4513e-5       2.6345
    6.46667e-5      2.46593
    6.48207e-5      2.31365
     6.4975e-5      2.17563
    6.51299e-5      2.04957
    6.52848e-5      1.93453
    6.54405e-5      1.82907
    6.55962e-5       1.7325
    6.58046e-5      1.61573
    6.60137e-5        1.511
    6.62235e-5      1.41683
    6.64338e-5      1.33191
    6.66448e-5      1.25507
    6.68566e-5      1.18537
     6.7069e-5      1.12205
     6.7282e-5      1.06442
    6.74957e-5      1.01183
    6.77818e-5     0.948737
     6.8069e-5     0.892716
    6.83575e-5     0.842917
    6.86472e-5     0.798632
    6.89745e-5     0.754789
    6.93035e-5     0.716412
    6.96341e-5      0.68299
    6.99662e-5     0.654234
    7.02999e-5     0.629713
    7.06351e-5     0.609044
     7.0972e-5      0.59242
    7.13104e-5     0.579777
    7.16504e-5     0.571219
     7.1954e-5     0.567038
    7.21401e-5     0.566234
    7.23884e-5     0.567611
    7.26952e-5     0.573101
    7.29262e-5     0.580368
    7.31579e-5     0.590622
    7.33902e-5     0.604606
    7.35845e-5     0.619547
    7.37598e-5     0.635902
    7.39354e-5     0.655429
    7.41116e-5     0.678668
    7.42879e-5     0.706193
     7.4465e-5      0.73889
    7.46225e-5     0.772996
    7.47806e-5     0.812865
    7.48992e-5     0.847086
    7.50182e-5     0.885706
    7.51372e-5     0.929284
    7.52564e-5     0.978698
     7.5356e-5      1.02523
    7.54457e-5      1.07175
    7.55354e-5      1.12327
    7.56253e-5      1.18064
    7.57154e-5       1.2446
    7.58055e-5      1.31607
    7.58956e-5       1.3963
     7.5986e-5      1.48697
    7.60664e-5       1.5775
    7.61468e-5      1.67893
