#ZVView-data-copy: 18-Nov-2018 22:54:07																																																							
																																																																																																														
#																																																							
#MT107:LB5:Symmetric Matrix																																																							
Z(54x54): Zi,j = Cor(σXi,σYj)*100																																																							
	X (MeV)																																																						
Y(MeV)	3.24926	6	6.5	6.75	7	7.25	7.5	7.75	8	8.25	8.5	8.75	9	9.25	9.5	9.75	10	10.25	10.5	10.75	11	11.25	11.5	11.75	12	12.5	13	13.5	13.75	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	22.5	25	30	34	35	40	42	50	60	j
22.5	-16.83	3.125	-1.809	2.706	3.983	0.173	-1.637	0.3729	3.469	5.216	4.792	2.779	0.112	-2.37	-3.988	-4.377	-3.559	-1.802	0.5351	3.072	5.391	7.03	7.525	6.538	2.191	-4.534	-3.483	4.674	2.981	-1.493	-2.543	0.7426	5.712	8.448	6.959	0.3916	-6.089	-8.907	-6.212	1.663	13.16	26.64	40.67	54.06	83.36	100	78.18	15.41	15.14	19.09	0	0	0	0	46
25	-4.258	1.155	-0.665	0.3736	1.858	0.7685	-0.7438	-0.7363	0.4423	1.796	2.549	2.502	1.792	0.6732	-0.5422	-1.549	-2.146	-2.263	-1.912	-1.155	-0.09303	1.112	2.23	2.972	2.704	-0.08028	-2.26	0.7637	2.236	0.7203	-0.9971	-1.214	0.4817	2.616	4.472	3.805	0.9659	-2.356	-4.492	-4.387	-1.815	2.975	9.535	17.31	43.06	78.18	100	29.09	28.59	19.95	0	0	0	0	47
30	5.463	-0.7153	0.746	-0.424	-0.9531	0.114	0.7832	0.354	-0.4818	-1.039	-1.037	-0.5802	0.1023	0.7917	1.301	1.521	1.441	1.119	0.6367	0.08065	-0.4568	-0.8763	-1.075	-0.9712	-0.1819	1.263	1.464	-0.07793	-0.1865	0.577	1.029	0.7678	-0.009387	-0.6496	-0.8254	-0.1396	0.8244	1.574	1.897	1.86	1.681	1.575	1.698	2.139	5.771	15.41	29.09	100	99.5	93.83	93.26	93.5	93.32	93.32	48
34	5.369	-0.7029	0.7331	-0.4167	-0.9366	0.112	0.7697	0.3479	-0.4734	-1.021	-1.019	-0.5702	0.1006	0.778	1.279	1.495	1.416	1.099	0.6257	0.07926	-0.4489	-0.8611	-1.056	-0.9544	-0.1787	1.241	1.438	-0.07658	-0.1832	0.567	1.011	0.7545	-0.009225	-0.6384	-0.8111	-0.1372	0.8101	1.547	1.864	1.828	1.652	1.548	1.669	2.101	5.671	15.14	28.59	99.5	100	94.36	94.02	93.44	93.37	93.37	49
35	-3.277	0.5872	-0.3465	0.482	0.7745	0.06603	-0.3176	0.02632	0.6096	0.969	0.9307	0.5875	0.1058	-0.3603	-0.6831	-0.7898	-0.6771	-0.3887	0.01376	0.4637	0.8875	1.203	1.327	1.195	0.4845	-0.6898	-0.5781	0.8357	0.601	-0.1609	-0.3717	0.1537	0.9926	1.48	1.285	0.2332	-0.8296	-1.297	-0.8488	0.4739	2.422	4.726	7.15	9.498	14.95	19.09	19.95	93.83	94.36	100	91.32	90.76	90.7	90.7	50
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.26	94.02	91.32	100	99.38	99.31	99.31	51
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.5	93.44	90.76	99.38	100	99.92	99.92	52
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.32	93.37	90.7	99.31	99.92	100	99.92	53
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.32	93.37	90.7	99.31	99.92	99.92	100	54
i 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	
