See original data: 
Section   Material 
and Evaluation Summary 
Interpreted ENDF file 

U-238(FY_cum)U-239,RNP   MAT=9237 MF=8 MT=459   Library: ENDF/B-VIII.0   

(n,FY_cum) Cumulative Fission-Product Yields
Fission-product yields are given for 2 incident neutron energies

Neutron energy =  5.0000E+05

   PRODUCT      ZAFP     FPS           Y          DY
 39-Y - 98    39098.      0.  3.8548E-02  6.1677E-03
 39-Y - 98-M  39098.      1.  1.5140E-02  3.4822E-03
 39-Y - 99    39099.      0.  4.7342E-02  1.0889E-02
 39-Y -100    39100.      0.  3.2313E-02  7.4319E-03
 39-Y -101    39101.      0.  1.5075E-02  3.4673E-03
 39-Y -102    39102.      0.  5.2822E-03  2.3770E-03
 39-Y -103    39103.      0.  1.3279E-03  8.4983E-04
 39-Y -104    39104.      0.  1.6278E-04  1.0418E-04
 39-Y -105    39105.      0.  3.6308E-05  2.3237E-05
 39-Y -106    39106.      0.  2.9781E-13  1.9060E-13
 39-Y -107    39107.      0.  8.6134E-15  5.5126E-15
 39-Y -108    39108.      0.  3.6032E-16  2.3060E-16
 39-Y -109    39109.      0.  9.0635E-17  5.8007E-17
 39-Y -110    39110.      0.  0.0000E+00  0.0000E+00
 39-Y -111    39111.      0.  1.3895E-13  8.8926E-14
 40-Zr- 87    40087.      0.  0.0000E+00  0.0000E+00
 40-Zr- 88    40088.      0.  0.0000E+00  0.0000E+00
 40-Zr- 89    40089.      0.  0.0000E+00  0.0000E+00
 40-Zr- 90-M  40090.      1.  1.7500E-14  1.1200E-14
 40-Zr- 90    40090.      0.  3.2469E-02  2.0781E-02
 40-Zr- 91    40091.      0.  4.0395E-02  8.0790E-04
 40-Zr- 92    40092.      0.  4.3125E-02  1.2075E-03
 40-Zr- 93    40093.      0.  4.9133E-02  9.8266E-04
 40-Zr- 94    40094.      0.  4.6101E-02  1.2908E-03
 40-Zr- 95    40095.      0.  5.1405E-02  7.1967E-04
 40-Zr- 96    40096.      0.  6.0174E-02  2.4070E-03
 40-Zr- 97    40097.      0.  5.5623E-02  7.7872E-04
 40-Zr- 98    40098.      0.  5.9418E-02  9.5069E-03
 40-Zr- 99    40099.      0.  6.1365E-02  6.7502E-03
 40-Zr-100    40100.      0.  6.5039E-02  1.0406E-02
 40-Zr-101    40101.      0.  5.5093E-02  1.2671E-02
 40-Zr-102    40102.      0.  4.6200E-02  1.0626E-02
 40-Zr-103    40103.      0.  2.7777E-02  6.3888E-03
 40-Zr-104    40104.      0.  1.0289E-02  4.6299E-03
 40-Zr-105    40105.      0.  2.1307E-03  1.3637E-03
 40-Zr-106    40106.      0.  7.2900E-06  4.6656E-06
 40-Zr-107    40107.      0.  1.9453E-07  1.2450E-07
 40-Zr-108    40108.      0.  8.8201E-09  5.6448E-09
 40-Zr-109    40109.      0.  2.0470E-09  1.3101E-09
 40-Zr-110    40110.      0.  1.5900E-12  1.0176E-12
